Restaurant	Note	Prix	Cuisine	Service	Avis	URL
Brasserie Chavant Grenoble	3.0	NE	Neutre	Négative	Trop trop long. Repas correct et pas exceptionnel Salle a l etage pas vraiement adapte por le service d un groupe tel que nous etions	https://www.tripadvisor.fr/Restaurant_Review-g187264-d3237883-Reviews-or75-Brasserie_Chavant_Grenoble-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Bistrot André - Grenoble	5.0	NE	NE	Neutre	Très bon, cette fois ci la climatisation était fonctionnelle et le service organisé. Il faudrait toutefois suggérer aux jeunes recrus d'expliquer et présenter le plat (un minimum pour chez André:on n'est pas chez Mac Do ...)	https://www.tripadvisor.fr/ShowUserReviews-g187272-d10312929-r963794750-Bistro_Andre-Valence_Drome_Auvergne_Rhone_Alpes.html
"""""""Terre Adélice - Lyon"""""""	2.0	NE	Positive	Négative	"""""""Bonnes glaces mais glacier pas sympa. Mes petits enfants fatigués se sont assis pour manger leur boule de glace et on s’est fait virer, alors que la terrasse était vide."""""""	"""""""https://www.tripadvisor.fr/ShowUserReviews-g187265-d2443980-r797917905-Terre_Adelice_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html"""""""
Le Marrakech - Annecy	4.0	Neutre	Positive	Positive	j'étais déjà allé seul dans ce restaurant que j'avais trouve bien. nous sommes retourner en couple et c'était toujours aussi bien. l'accueil et bien les couscous très bon et la décoration typique. Le patron est toujours aussi agréable. Un petit bémol, le prix des desserts qui me paraissent un peu cher. ce qui n'est pas le cas des couscous et tajines.	https://www.tripadvisor.fr/Restaurant_Review-g187260-d1992149-Reviews-or105-Le_Marrakech-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html
Les Jardins de Sainte-Cécile - Grenoble	4.0	NE	Positive	NE	Trois fois dans ce restaurant, trois fois où nous avons passé un superbe moment. Cuisine raffinée gastro et élégamment présentée. Les fromages proviennent de Beranrd Mure Ravaud (champion du monde et Meilleur Ouvrier de France)  Je recommande vivement!	https://www.tripadvisor.fr/ShowUserReviews-g187264-d2284818-r411767081-Les_Jardins_de_Sainte_Cecile-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Les Terrasses de Lyon - Lyon	5.0	NE	Positive	Positive	Nous avons choisi le menu en 5 services. N'aimant pas l'agneau j'ai demandé à modifier et cela a été accepté. Un régal pour les papilles des amuses bouches au mignardises. Le personnel est professionnel et attentionné. Quel plaisir de contempler l'une des plus belles vues de Lyon. Nous recommandons cette adresse.	https://www.tripadvisor.fr/ShowUserReviews-g187265-d3727154-r840375000-Les_Terrasses_de_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html
"""""""Terre Adélice - Lyon"""""""	2.0	Négative	Neutre	Négative	"""""""Les glaces sont très très chères, comptez 5€ pour une glace 2 boules! Pas de terrasse et service à la chaîne. Bref, les glaces vendues en grande surface ont le même goût et sont beaucoup moins chères"""""""	"""""""https://www.tripadvisor.fr/ShowUserReviews-g187265-d2443980-r764190169-Terre_Adelice_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html"""""""
Le Gurtlerhoft - Strasbourg	4.0	NE	Positive	Négative	Ambiance et cuisine sympathique, mais service non agréable voir offensant (on nous a prévenu de se dépêcher avant même avoir commandé car il y avait un second service alors que nous étions en avance sur la réservation, servi au lance pierre et mon fils s'est fait retiré l'assiette alors même qu'il mangeait encore.. très peu aimable en prime)	https://www.tripadvisor.fr/Restaurant_Review-g187075-d794843-Reviews-or150-Le_Gurtlerhoft-Strasbourg_Bas_Rhin_Grand_Est.html
La Fondue - Grenoble	1.0	NE	NE	Négative	Après être arrivé au restaurant on a été conduit à un restaurant similaire (ne portant pas le même nom) bref rdv à 21h. On prend nos commandes, 1h après la serveuse vient nous confirmer la commande car elle n avait pas tout compris! A 23h15, après plus de 2h d attente et des demandes complètement ignoré nous sommes partis!!!!!! De plus la serveuse était mal gracieuse!!!! JE VOUS LE DÉCONSEILLE	https://www.tripadvisor.fr/ShowUserReviews-g187264-d718663-r247845226-La_Fondue-Grenoble_Isere_Auvergne_Rhone_Alpes.html
L'Entrecôte	5.0	NE	Positive	Positive	Bon restaurant dans le centre de Lyon. viande et frites très bonnes .la sauce mystérieuse est extra....plusieurs service de frites bien chaude....dessert très bien. un grand Merci à Johanna pour son accueil et son service.	https://www.tripadvisor.fr/Restaurant_Review-g187265-d2075406-Reviews-or15-L_Entrecote-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Le Marrakech - Annecy	5.0	NE	Positive	Positive	A chaque fois que nous allons manger dans ce restaurant mon mari et moi nous nous régalons ! Il fait parti des meilleurs restaurants de tajine et couscous des environs. On y mange bien, la qualité et la quantité sont présentes. Contrairement à certains commentaires, les produits ne sont pas surgelés, ayant visiter la cuisine, nous avons pu voir que les produits sont frais. De plus, nous sommes à chaque fois bien accueillis par le chef.	https://www.tripadvisor.fr/Restaurant_Review-g187260-d1992149-Reviews-or135-Le_Marrakech-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html
